name,setpoint,kp,ki,kd
adolescent#001,120,-1e-4,-1e-6,-1e-3
adolescent#002,120,-5.53084E-11,-6.73795E-12,-1.00000E-02
adolescent#003,120,-2.36183E-05,-1.00000E-07,-5.00000E-03
adolescent#004,120,-1.00000E-04,-1.00000E-07,-5.00000E-03
adolescent#005,120,-5.00000E-05,-2.16524E-07,-5.00000E-03
adolescent#006,120,-2.48935E-06,-1.00000E-06,-5.00000E-03
adolescent#007,120,-5.00000E-05,-1.00000E-07,-5.00000E-03
adolescent#008,120,-1.74517E-04,-3.98107E-08,-5.00000E-03
adolescent#009,120,-2.27000E-09,-1.00000E-07,-5.00000E-03
adolescent#010,120,-1.00000E-05,-2.23130E-08,-1.00000E-02
adult#001,120,-1.00000E-04,-5.00000E-07,-1.00000E-02
adult#002,120,-2.62653E-04,-1.90365E-06,-1.00000E-02
adult#003,120,-1.35914E-04,-5.00000E-07,-5.00000E-03
adult#004,120,-5.00000E-05,-5.00000E-07,-5.00000E-03
adult#005,120,-5.00000E-05,-1.00000E-06,-1.00000E-02
adult#006,120,-1.00000E-04,-7.37135E-07,-1.00000E-02
adult#007,120,-5.00000E-05,-1.00000E-06,-5.00000E-03
adult#008,120,-2.62653E-05,-8.70551E-07,-8.95025E-03
adult#009,120,-2.03024E-04,-1.78496E-07,-1.00000E-02
adult#010,120,-4.08692E-06,-3.49034E-07,-1.00000E-02
child#001,120,-2.36183E-05,-3.01995E-08,-6.97372E-04
child#002,120,-1.17589E-06,-1.42642E-11,-5.00000E-03
child#003,120,-5.00000E-05,-3.49034E-08,-1.00000E-03
child#004,120,-5.00000E-05,-1.00000E-07,-1.00000E-03
child#005,120,-1.43252E-04,-1.17589E-08,-8.23591E-03
child#006,120,-5.00000E-05,-3.98107E-08,-1.00000E-03
child#007,120,-5.00000E-05,-1.00000E-07,-1.90365E-03
child#008,120,-5.00000E-05,-1.44544E-08,-1.00000E-03
child#009,120,-2.16524E-05,-1.29370E-07,-7.57858E-04
child#010,120,-6.30957E-05,-4.27415E-08,-1.00000E-03
